CurveID,CurveName,DataSource,Commodity,ProductOrMarket,Location,ContractType,PriceType,Granularity,PublicationFrequency,PublicationCalendar,Currency,CurveUnit,CurveType,UsageType,Description,OwnerRole,Destination,CurveStatus,SettlementTime,ProductCode,CreatedBy,CreatedDateTimeUtc,GMACurveID,TimeOfDay,Timezone,SurfaceContractType,SurfaceStrikeType
3348,P_Retail_Dutch.EUR,GMT Trader,Power,Dutch Power,Netherlands,OTC Physical Power,Mid,15-min,Daily,UK Business Days,EUR,MWh,Forward Curve,Intraday,,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc-live-fota-alerti,2015-02-24 09:46:28.050,NULL,NULL,NULL,NULL,NULL
3361,P_Retail_Dutch_MOP.EUR,GMT Trader,Power,Dutch Power,Netherlands,OTC Physical Power,Mid,Monthly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Monthly OffPeak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2015-02-24 09:46:37.847,NULL,Off Peak,NULL,NULL,NULL
3367,P_Retail_Dutch_SOP.EUR,GMT Trader,Power,Dutch Power,Netherlands,OTC Physical Power,Mid,Seasons,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Seasons OffPeak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2015-02-24 09:46:41.283,NULL,Off Peak,NULL,NULL,NULL
3366,P_Retail_Dutch_SP.EUR,GMT Trader,Power,Dutch Power,Netherlands,OTC Physical Power,Mid,Seasons,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Seasons Peak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2015-02-24 09:46:40.393,NULL,Peak,NULL,NULL,NULL
4964,P_Retail_EG_UK,Analyst Curve,Power,UK Power,UK,NULL,NULL,NULL,Bespoke,NULL,NULL,NULL,Forward Curve,Analysis,Retail Power Embedded Generation Contract Price curve. Setup for Thomas Groarke.,ProductControl,ArcTimeSeries,Active,NULL,NULL,gazpromuk\jelmgren,2016-03-07 16:34:42.210,3115874,NULL,NULL,NULL,NULL
NULL,P_Retail_France_WE.EUR,GMT Trader,Power,French Power,France,OTC Physical Power,Mid,Weekends,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Weekends,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Base,NULL,NULL,NULL
NULL,P_Retail_France_YP.EUR,GMT Trader,Power,French Power,France,OTC Physical Power,Mid,Yearly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Yearly Peak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Peak,NULL,NULL,NULL
3344,P_Retail_Germany_SOP.EUR,GMT Trader,Power,German Power,Germany,OTC Physical Power,Mid,Seasons,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Seasons OffPeak,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2015-02-24 09:45:02.283,NULL,Off Peak,NULL,NULL,NULL
NULL,P_Retail_Hungary_HB.EUR,GMT Trader,Power,Hungarian Power,Hungary,OTC Physical Power,Mid,Hourly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Hourly Base (Shifted one hour forward from source curve),FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,Base,NULL,NULL,NULL
2842,P_Trader_France_WB.EUR,GMT Trader,Power,French Power,France,OTC Physical Power,Mid,Weekly,Daily,UK Business Days,EUR,MWh,Forward Curve,Analysis,Arc Derived Curve - Weekly Base,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2014-12-09 17:24:20.480,NULL,Base,NULL,NULL,NULL
